Habitat_type,Current,Hypo_41to11,Hypo_41to12,Hypo_41to26
1,64617,21427,20453,20736
2,2051,868,881,987
3,877,2599,2487,2093
4,251,578,534,351
5,7,292,178,228
6,93,507,765,584
10,36,1,74,0
11,3,269,120,72
12,1,201,234,109
16,1139,2882,2039,2054
17,4,83037,84580,86086
19,1,12,8,33
23,16,289,432,485
26,5,29,19,74
27,26,243,227,194
28,10,373,348,567
29,6,0,15,0
41,4177,1283,1055,488
42,7,53,31,36
43,1,45,15,4
45,4494,2159,1508,1742
47,111,218,214,164
251,47,395,565,521
252,132,386,298,262
253,5,20,20,21
332,1,34,21,5
