,Habitat_type,Current,Hypo_41to11,Hypo_41to12,Hypo_41to26,Sensitivity_Current,Sensitivity_Hypo_41to11,Sensitivity_Hypo_41to12,Sensitivity_Hypo_41to26
0,1,64617,21427,20453,20736,3.725847109315332,0.8043109007924397,0.7677496081536272,0.7783726531400584
1,2,2051,868,881,987,1.31236505116903,0.3615705648759273,0.3669857922300598,0.411140722963756
2,3,877,2599,2487,2093,0.9467821240302114,1.826590027183863,1.747875874415647,1.470970729856031
3,4,251,578,534,351,0.8652090760011379,1.297058398037401,1.198320388498221,0.7876600306420894
4,5,7,292,178,228,0.01173870585348753,0.3187787609205066,0.1943240391912677,0.2489094434584778
5,6,93,507,765,584,0.2732715532110107,0.9698482411084878,1.463380482145943,1.11714274715455
6,10,36,1,74,0,0.5295278441004063,0.009575702552454421,0.7086019888816271,
7,11,3,269,120,72,0.003591365476742492,0.2096403978909679,0.09351988010006002,0.05611192806003601
8,12,1,201,234,109,0.003606543825600427,0.4719235149856585,0.5494034950579308,0.2559187220568994
9,16,1139,2882,2039,2054,0.1937671079057315,0.3191792545540585,0.2258176613586833,0.2274788996717683
10,17,4,83037,84580,86086,9.469945215534962e-05,1.279804026311026,1.303585444384871,1.326796601623505
11,19,1,12,8,33,0.01998519943011799,0.1561255850943655,0.1040837233962437,0.4293453590095053
12,23,16,289,432,485,0.01347733366117277,0.1584769801819799,0.2368929253931326,0.2659561778140493
13,26,5,29,19,74,0.02767080692454663,0.104480240615721,0.06845257143788618,0.2666047519159777
14,27,26,243,227,194,0.03602384322334874,0.219183226663946,0.2047514092704351,0.174985785896319
15,28,10,373,348,567,0.02003412955167016,0.4864785054121627,0.4538727074622858,0.739499497503207
16,29,6,0,15,0,0.3227127952825413,,0.5252191352603744,
17,41,4177,1283,1055,488,7.795633263394911,1.558827029337776,1.281810222877127,0.5929131647052492
18,42,7,53,31,36,0.05173269619454391,0.2549924311170434,0.1491465163137424,0.1732024060417653
19,43,1,45,15,4,0.01541367837134625,0.4515471992031168,0.1505157330677056,0.04013752881805482
20,45,4494,2159,1508,1742,5.813148186689495,1.81808973478396,1.269883890715244,1.466934839274506
21,47,111,218,214,164,0.360348372360679,0.4607235650461315,0.4522699216507896,0.3465993792090163
22,251,47,395,565,521,0.05760596808537576,0.3151744935616447,0.4508192123096944,0.415711167457258
23,252,132,386,298,262,0.3705569270144065,0.7054279388518381,0.5446049890617818,0.4788137823294859
24,253,5,20,20,21,0.1055610645847757,0.2748831375457019,0.2748831375457019,0.288627294422987
25,332,1,34,21,5,0.0204851276271621,0.4534213207046406,0.2800543451411016,0.06667960598597657
